"","names","scores","logfoldchanges","pvals","pvals_adj","logp","Celltype"
"1371","CHEMBL1109|SULFAPHENAZOLE",-6.297938,-0.5209356,3.0163121482093e-10,8.72092141196213e-10,9.05943762710984,"other"
"1376","CHEMBL548|DINOPROSTONE",-6.4568887,-0.52061546,1.06877410921488e-10,3.1308041570534e-10,9.50434409819949,"other"
"1067","CHEMBL557555|CIPROFIBRATE",-3.0074143,-0.5155328,0.00263480350844388,0.00489349231712508,2.31038108919509,"other"
"906","CHEMBL3989569|IBANDRONATE SODIUM",3.005472,-0.47904152,0.00265168957222968,0.00490994147893551,2.30892368415541,"other"
"907","CHEMBL1654|RISEDRONATE SODIUM",3.005472,-0.47904152,0.00265168957222968,0.00490994147893551,2.30892368415541,"other"
"908","CHEMBL675|ALENDRONATE SODIUM",3.005472,-0.47904152,0.00265168957222968,0.00490994147893551,2.30892368415541,"other"
"909","CHEMBL3989401|PAMIDRONATE DISODIUM",3.005472,-0.47904152,0.00265168957222968,0.00490994147893551,2.30892368415541,"other"
"1249","CHEMBL1200908|HALOBETASOL PROPIONATE",-4.310064,-0.47076538,1.63207268708708e-05,3.82746864104986e-05,4.4170883588465,"other"
"1250","CHEMBL1200384|BETAMETHASONE DIPROPIONATE",-4.310064,-0.47076538,1.63207268708708e-05,3.82746864104986e-05,4.4170883588465,"other"
"893","CHEMBL415|CLOMIPRAMINE",3.2075305,-0.4665775,0.00133879825375227,0.0025996713100644,2.58508155866345,"other"
"922","CHEMBL1201037|EFLORNITHINE HYDROCHLORIDE",2.9207106,-0.46621338,0.00349233996882566,0.00636058344285001,2.19650304561124,"other"
"1237","CHEMBL1525|PERMETHRIN",-3.972618,-0.46234146,7.10869710113538e-05,0.00016220030885613,3.78994832315578,"other"
"911","CHEMBL3989521|ISOPROTERENOL SULFATE",2.9870615,-0.4591585,0.00281673033840644,0.0051958690857784,2.28434179987004,"other"
"912","CHEMBL1201002|CARTEOLOL HYDROCHLORIDE",2.9870615,-0.4591585,0.00281673033840644,0.0051958690857784,2.28434179987004,"other"
"913","CHEMBL1204165|DILEVALOL HYDROCHLORIDE",2.9870615,-0.4591585,0.00281673033840644,0.0051958690857784,2.28434179987004,"other"
"914","CHEMBL1256786|FORMOTEROL",2.9870615,-0.4591585,0.00281673033840644,0.0051958690857784,2.28434179987004,"other"
"1406","CHEMBL1484251|CHLORHEXIDINE HYDROCHLORIDE",-7.56653,-0.4578533,3.83324936877512e-14,1.24848574647456e-13,12.9036164114727,"other"
"1271","CHEMBL282575|ESTRADIOL BENZOATE",-4.6998568,-0.45717108,2.60343814634549e-06,6.2924997094477e-06,5.20117679583288,"other"
"1162","CHEMBL1159650|CLOBETASOL PROPIONATE",-3.6361494,-0.44936734,0.000276743731339869,0.000575608135082754,3.23987307679835,"other"
"1132","CHEMBL1908373|ONAPRISTONE",-3.542719,-0.4456808,0.000396024601828184,0.000800558823199784,3.09660675162413,"other"
"1241","CHEMBL1256696|CARBETAPENTANE CITRATE",-4.03518,-0.44358656,5.45604172442304e-05,0.000126138734006983,3.89915153212295,"other"
"1436","CHEMBL1200875|FLAVOXATE HYDROCHLORIDE",-10.708291,-0.4411448,9.30642054079339e-27,3.73784969503787e-26,25.4273781662873,"other"
"813","CHEMBL570|TRIFLUPROMAZINE",4.3930607,-0.43918598,1.11765859439904e-05,2.67232934692086e-05,4.57311001897492,"other"
"1357","CHEMBL45816|MIBEFRADIL",-6.0510454,-0.42164966,1.43908915701221e-09,4.0553134539768e-09,8.39197557152158,"other"
"1334","CHEMBL386630|TESTOSTERONE",-5.8763466,-0.4173006,4.19419391725073e-09,1.12365808560737e-08,7.94936581877027,"other"
"796","CHEMBL2|PRAZOSIN",4.9208236,-0.41570613,8.61808875548799e-07,2.1058786309614e-06,5.67656666231608,"other"
"1403","CHEMBL1619|CLADRIBINE",-7.432685,-0.4086661,1.06415179870036e-13,3.44756993327297e-13,12.4624869154853,"other"
"1366","CHEMBL54|HALOPERIDOL",-6.16758,-0.40645015,6.93430694339725e-10,1.98377950684791e-09,8.70250660046851,"other"
"896","CHEMBL1201746|PRALATREXATE",3.0906405,-0.40621716,0.00199725286671123,0.00383761234247892,2.41593889776765,"other"
"910","CHEMBL513|CARMUSTINE",2.9987197,-0.40322366,0.00271116647142672,0.00501627321415261,2.29961881743901,"other"
"1356","CHEMBL1370|BUDESONIDE",-6.0422053,-0.39906397,1.5202167508691e-09,4.27899904790084e-09,8.3686578101488,"other"
"1455","CHEMBL24072|PRENYLAMINE",-17.16464,-0.38718584,4.88499813538132e-66,2.90017122309289e-65,64.5375763610496,"other"
"1280","CHEMBL46469|ANTHRALIN",-4.982667,-0.36957318,6.27137864431437e-07,1.5479104100901e-06,5.81025417900807,"other"
"856","CHEMBL1589|ACETOHEXAMIDE",3.6725829,-0.3554571,0.000240111284770648,0.000501119626748297,3.30005858743601,"other"
"1170","CHEMBL691|ETHINYL ESTRADIOL",-3.750258,-0.3533147,0.000176652658012284,0.000373136788858416,3.42813193023937,"other"
"961","CHEMBL1626|CLEMASTINE",2.7748566,-0.34563538,0.00552260470391767,0.0096903092580937,2.01366236258387,"other"
"1360","CHEMBL1201236|CARBIDOPA",-6.1324053,-0.3388629,8.65602907142668e-10,2.45622356249532e-09,8.60973210677381,"other"
"715","CHEMBL1466|DICUMAROL",6.7867823,-0.33639437,1.14661866156493e-11,3.45397690417218e-11,10.4616805707709,"other"
"1433","CHEMBL628|PENTOXIFYLLINE",-10.51246,-0.32890192,7.56927767290683e-26,2.9862021270855e-25,24.5248807995223,"other"
"1405","CHEMBL1201550|DENILEUKIN DIFTITOX",-7.5578356,-0.32238546,4.09832282228323e-14,1.33304489671606e-13,12.8751552233786,"other"
"1421","CHEMBL717|MEDROXYPROGESTERONE ACETATE",-8.899095,-0.32012063,5.63041037000904e-19,2.01050857883826e-18,17.696694069423,"other"
"1442","CHEMBL103|PROGESTERONE",-11.1236925,-0.31403828,9.62056187294223e-29,4.02254604123362e-28,27.3954989763553,"other"
"812","CHEMBL19|METHAZOLAMIDE",4.408288,-0.3127925,1.04190873586056e-05,2.49364850089524e-05,4.60316476372034,"other"
"897","CHEMBL871|ETIDRONIC ACID",3.0870118,-0.3118145,0.00202179515681582,0.00388171974377669,2.41097582343632,"other"
"814","CHEMBL1200478|DYCLONINE HYDROCHLORIDE",4.2841535,-0.30549216,1.83436201939562e-05,4.28134494221535e-05,4.36841978023257,"other"
"1315","CHEMBL1170|TESTOSTERONE PROPIONATE",-5.6276073,-0.30238524,1.82726198021642e-08,4.73462161399297e-08,7.32471472363458,"other"
"1272","CHEMBL63857|PHENOLPHTHALEIN",-4.718734,-0.3004143,2.37317237792208e-06,5.74162179663444e-06,5.24096541808198,"other"
"894","CHEMBL1256818|DEXTROMETHORPHAN HYDROBROMIDE",3.2074528,-0.28357947,0.00133916020060554,0.0025996713100644,2.58508155866345,"other"
"816","CHEMBL94394|BUFEXAMAC",4.241322,-0.27695134,2.22206886265876e-05,5.17143714373296e-05,4.28638874958303,"other"
