"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","FoldEnrichment"
"GO:0030301","GO:0030301","cholesterol transport","12/454","107/16910",2.99254331892978e-05,0.00154590408524226,0.0012408106444343,"APOC1/APOE/CD36/NR1H3/PPARG/NPC1/CES1/APOA2/CETP/STARD4/APOC3/LDLR",12,4.17719955535428
"GO:0002701","GO:0002701","negative regulation of production of molecular mediator of immune response","8/454","47/16910",3.18176057244703e-05,0.00161944436612839,0.00129983730992364,"ACP5/CR1/HMOX1/CD22/IL10/APOA2/HFE/SLAMF1",8,6.33986315493486
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","29/454","472/16910",3.21136276569369e-05,0.00161944436612839,0.00129983730992364,"GPNMB/LGALS3/PLPP3/CR1/TFRC/CBLB/TNFRSF14/CXCL12/VCAM1/SDC4/ITPKB/CD209/ZNF703/HES1/SHB/IL2RG/HLX/IL10/ADTRP/IL1RN/HFE/SLAMF1/PLA2G2D/CD274/DTX1/IGF1/SOX13/CD28/CRTAM",29,2.2884622564026
"GO:0050868","GO:0050868","negative regulation of T cell activation","13/454","126/16910",3.44306615769879e-05,0.00171586214635436,0.00137722646307952,"GPNMB/LGALS3/CR1/CBLB/TNFRSF14/SDC4/HLX/IL10/HFE/PLA2G2D/CD274/DTX1/CRTAM",13,3.84291308300119
"GO:0043410","GO:0043410","positive regulation of MAPK cascade","29/454","476/16910",3.74257862672531e-05,0.00183017416775454,0.00146897832161602,"GPNMB/APOE/CD36/CCL18/SASH1/SORBS3/PDGFC/GDF15/MARCO/CCR1/NRP1/MFHAS1/TNIK/GSDME/CHI3L1/PDE6G/GADD45A/IGF1R/BIRC7/P2RY1/GADD45G/TRAF5/CCL24/SLAMF1/IGF1/CAVIN3/TBX1/TPD52L1/SEMA3A",29,2.26923148113871
"GO:0007162","GO:0007162","negative regulation of cell adhesion","21/454","289/16910",3.75885629354686e-05,0.00183017416775454,0.00146897832161602,"GPNMB/LGALS3/CR1/CBLB/TNFRSF14/CXCL12/SDC4/ADAMDEC1/ZNF703/CYP1B1/HLX/IL10/ADTRP/IL1RN/HFE/PLA2G2D/CD274/DTX1/ACVRL1/DSCAM/CRTAM",21,2.70650732436017
"GO:0120161","GO:0120161","regulation of cold-induced thermogenesis","14/454","146/16910",3.94860904553156e-05,0.00190071680873542,0.00152559894940992,"FABP5/CD36/ALDH1A1/NR1H3/CMKLR1/FABP4/PDGFC/PLCL1/EPAS1/SCD/IGF1R/THRA/GRB10/GADD45G",14,3.57160098968077
"GO:0045940","GO:0045940","positive regulation of steroid metabolic process","6/454","25/16910",4.15747388618296e-05,0.00197877071706416,0.00158824845090136,"APOE/DAB2/ADM/IGF1R/CES1/STARD4",6,8.93920704845815
"GO:0106106","GO:0106106","cold-induced thermogenesis","14/454","147/16910",4.25931874096906e-05,0.0019858216877332,0.00159390787022967,"FABP5/CD36/ALDH1A1/NR1H3/CMKLR1/FABP4/PDGFC/PLCL1/EPAS1/SCD/IGF1R/THRA/GRB10/GADD45G",14,3.54730438430879
"GO:0050679","GO:0050679","positive regulation of epithelial cell proliferation","17/454","206/16910",4.26604753502648e-05,0.0019858216877332,0.00159390787022967,"GLUL/NRP2/TCF7L2/CXCL12/HMOX1/NRP1/ZNF703/HLX/EGFL7/IL10/HSF4/CCL24/ECM1/LAMC1/IGF1/TBX1/ACVRL1",17,3.07375646892776
"GO:0006879","GO:0006879","intracellular iron ion homeostasis","9/454","63/16910",4.37885982549668e-05,0.00201617937182651,0.00161827428333573,"FTH1/FTL/SLC40A1/TFRC/HMOX1/HAMP/SLC46A1/HFE/CYB561",9,5.32095657646318
"GO:0010885","GO:0010885","regulation of cholesterol storage","5/454","16/16910",4.66558005032032e-05,0.00208035758875336,0.00166978654432517,"CD36/NR1H3/PPARG/LPL/CES1",5,11.6395925110132
"GO:0021783","GO:0021783","preganglionic parasympathetic fiber development","5/454","16/16910",4.66558005032032e-05,0.00208035758875336,0.00166978654432517,"NRP2/NRP1/HES1/NAV2/TBX1",5,11.6395925110132
"GO:0034375","GO:0034375","high-density lipoprotein particle remodeling","5/454","16/16910",4.66558005032032e-05,0.00208035758875336,0.00166978654432517,"APOC1/APOE/APOA2/CETP/APOC3",5,11.6395925110132
"GO:0042098","GO:0042098","T cell proliferation","17/454","208/16910",4.81920135712086e-05,0.00212647259882958,0.00170680048064697,"GPNMB/LGALS3/CR1/TFRC/CBLB/TNFRSF14/VCAM1/SDC4/CD209/HES1/IL10/SLAMF1/PLA2G2D/CD274/IGF1/CD28/CRTAM",17,3.044201118265
"GO:0006979","GO:0006979","response to oxidative stress","26/454","412/16910",5.27701695360588e-05,0.00230447874386335,0.00184967604559381,"SELENOP/TXN/APOE/CD36/IL18BP/ATOX1/SOD2/MMP9/GCLC/IDH1/HMOX1/EPAS1/BNIP3/CYP1B1/MGST1/FOXO1/SLC7A11/NQO1/GPX3/GCLM/IL10/AIFM2/SRXN1/FBLN5/HP/DHCR24",26,2.35051965270946
"GO:0019915","GO:0019915","lipid storage","10/454","80/16910",5.40634661226507e-05,0.00233686573975049,0.00187567127364298,"APOE/CD36/GM2A/PLIN2/NR1H3/PPARG/LPL/CDS2/CES1/STARD4",10,4.65583700440529
"GO:0015908","GO:0015908","fatty acid transport","12/454","114/16910",5.63064969425398e-05,0.00240923556614746,0.0019337584808549,"FABP5/APOE/CD36/PLIN2/FABP3/PPARG/FABP4/ACE/P2RX4/RBP7/RBP1/PLA2G2D",12,3.92070484581498
"GO:0050670","GO:0050670","regulation of lymphocyte proliferation","18/454","233/16910",6.09585020265277e-05,0.00258182793083807,0.00207228870747154,"GPNMB/LGALS3/CR1/TFRC/CBLB/TNFRSF14/VCAM1/SDC4/CD209/CD22/HES1/IL10/SLAMF1/PLA2G2D/CD274/IGF1/CD28/CRTAM",18,2.87742716152086
"GO:0097530","GO:0097530","granulocyte migration","14/454","152/16910",6.15591645454781e-05,0.00258182793083807,0.00207228870747154,"LGALS3/MPP1/CCL18/CMKLR1/SLAMF8/CXCL2/IL1R1/CXCL3/HRH1/CSF1/CXCL9/CCL24/SLAMF1/SAA1",14,3.43061674008811
"GO:0120162","GO:0120162","positive regulation of cold-induced thermogenesis","11/454","98/16910",6.34212081954528e-05,0.00260786853091082,0.00209319003897469,"FABP5/CD36/CMKLR1/FABP4/PDGFC/EPAS1/SCD/IGF1R/THRA/GRB10/GADD45G",11,4.1807515957925
"GO:0035729","GO:0035729","cellular response to hepatocyte growth factor stimulus","5/454","17/16910",6.46426335565713e-05,0.00260786853091082,0.00209319003897469,"LGMN/GCLC/NRP1/GCLM/IL10",5,10.9549105986007
"GO:0043691","GO:0043691","reverse cholesterol transport","5/454","17/16910",6.46426335565713e-05,0.00260786853091082,0.00209319003897469,"APOE/CES1/APOA2/CETP/APOC3",5,10.9549105986007
"GO:0061548","GO:0061548","ganglion development","5/454","17/16910",6.46426335565713e-05,0.00260786853091082,0.00209319003897469,"NRP2/NRP1/CYP1B1/SEMA3A/TULP3",5,10.9549105986007
"GO:0007584","GO:0007584","response to nutrient","14/454","153/16910",6.61312982788803e-05,0.00264275641046544,0.00212119258630371,"FOLR2/SOD2/PPARG/TFRC/GCLC/LPL/HMOX1/VCAM1/HAMP/CYP1B1/NQO1/GCLM/IGF1R/CDKN2B",14,3.40819440845354
